   Department,Year,    Age ,Gender,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,Level
AET,3,22,Male,3,3,3,3,5,3,5,4,4,5,4,3,4,3,3,3,2,2,3,3,3,5,4,4,4,3.52
AET,3,22,Male,1,1,1,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,1,5,5,5,5,4.2
AET,3,22,Male,4,4,5,4,5,3,5,5,5,3,4,4,3,5,5,5,2,3,5,4,4,4,4,3,4,4.08
AET,3,21,Male,3,3,5,5,5,4,5,5,4,3,4,4,5,2,3,4,2,4,3,5,3,5,2,3,4,3.8
AET,3,20,Male,1,3,1,4,4,2,3,4,3,2,2,2,2,1,2,3,2,2,2,1,2,2,3,2,2,2.28
Agriculture,4,22,Male,3,2,2,3,2,3,3,3,4,4,2,3,4,3,4,5,3,4,2,3,4,4,4,4,5,3.32
Agriculture,2,21,Male,4,4,3,4,3,4,3,4,4,2,2,2,3,3,2,2,2,3,4,4,3,2,4,3,4,3.12
Agriculture,4,28,Male,3,4,3,2,5,3,5,4,4,5,2,4,2,4,4,4,2,4,3,2,4,2,2,5,4,3.44
Agriculture,4,23,Male,3,3,5,5,3,3,5,3,4,5,4,5,5,3,3,5,4,5,3,4,5,5,4,4,4,4.08
Agriculture,4,22,Male,4,3,4,4,3,3,5,5,4,5,5,3,4,4,3,4,3,3,4,4,4,4,3,4,5,3.88
Agriculture,4,21,Male,3,3,5,3,3,2,5,4,3,5,5,5,5,5,4,2,3,5,5,4,5,5,3,5,5,4.08
Agriculture,3,20,Male,4,3,3,3,2,2,4,4,4,5,5,4,4,4,5,3,4,3,5,4,5,4,4,4,5,3.88
Agriculture,2,20,Male,3,2,4,3,1,2,2,4,4,4,5,4,4,4,3,4,2,3,4,4,4,4,3,4,4,3.4
Agriculture,4,22,Male,1,3,5,3,4,1,3,1,1,3,2,2,1,1,1,4,1,3,1,1,5,1,1,3,2,2.16
Agriculture,4,23,Male,2,3,3,3,4,4,4,4,3,5,5,2,4,5,3,5,5,4,3,3,2,2,3,5,4,3.6
Agriculture,4,23,Male,4,5,5,3,3,3,2,4,2,3,4,3,4,5,3,4,2,2,5,3,4,3,3,4,4,3.48
Agriculture,4,21,Male,2,2,2,4,4,4,4,4,4,2,2,4,4,2,3,4,4,2,4,2,4,2,2,4,4,3.16
Agriculture,4,22,Male,3,4,3,3,5,3,3,5,3,3,3,3,3,3,2,5,1,3,3,4,3,5,2,3,4,3.28
Agriculture,4,23,Male,2,3,5,2,1,1,3,4,4,3,4,4,4,4,4,4,2,4,2,4,4,3,3,3,1,3.12
Agriculture,4,23,Male,5,4,4,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,5,5,4.2
Agriculture,4,21,Male,3,5,1,5,5,4,5,2,2,4,3,1,2,4,2,4,4,1,4,3,4,2,5,4,5,3.36
Agriculture,4,21,Female,3,2,1,3,4,5,5,5,5,5,4,4,3,2,5,5,5,4,2,3,5,3,4,5,5,3.88
Agriculture,4,22,Male,3,4,1,2,5,3,5,4,3,3,1,2,3,2,4,4,1,2,3,3,5,2,3,5,5,3.12
Animal Husbandry,4,24,Male,2,3,3,4,3,4,3,3,3,3,2,3,3,4,2,4,3,3,4,3,2,3,2,3,3,3
Animal Husbandry,4,22,Male,3,2,2,3,3,3,2,2,3,2,2,3,3,4,2,4,3,2,3,3,2,4,3,3,3,2.76
Animal Husbandry,3,21,Male,2,3,3,3,4,3,5,2,2,3,4,4,3,4,2,2,4,4,4,3,3,3,2,4,4,3.2
Animal Husbandry,4,23,Male,3,3,3,3,3,4,3,4,4,4,4,4,4,3,4,4,3,3,4,3,3,4,4,4,4,3.56
