"","X","Year","Age","Gender","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","Level","y"
"3",3,3,22,0,1,1,1,2,5,2,4,4,4,3,2,5,5,5,5,2,1,3,1,1,5,5,1,3,3,2.96,2
"4",4,3,23,0,1,5,2,1,2,4,5,3,3,5,3,2,3,3,3,2,3,2,3,4,4,2,2,3,5,3,2
"5",5,3,23,1,1,2,1,1,2,5,3,5,4,5,1,1,1,1,1,3,2,1,1,1,2,5,2,3,5,2.36,2
"8",8,3,23,1,1,1,1,1,2,1,1,2,1,1,1,3,1,1,3,1,1,1,2,2,2,1,2,2,1,1.44,2
"10",10,1,19,0,2,1,3,1,3,1,3,1,2,1,2,3,1,3,1,3,1,3,1,3,4,2,2,1,4,2.08,2
"11",11,1,21,1,2,1,3,4,1,5,2,1,3,1,3,1,2,1,4,1,3,1,4,1,3,4,2,1,4,2.32,2
"12",12,1,23,0,4,1,3,1,3,1,4,2,1,3,1,3,1,2,1,3,1,2,4,2,1,2,4,5,3,2.32,2
"16",16,4,23,0,1,2,2,4,5,1,5,4,4,2,3,4,1,1,1,3,1,1,4,4,3,2,2,3,4,2.68,2
"18",18,3,21,0,1,1,5,4,5,3,4,3,3,3,3,2,1,4,1,1,1,1,1,1,4,4,1,4,4,2.6,2
"33",33,1,23,0,5,2,3,1,3,1,2,3,2,2,3,2,3,2,4,2,3,1,2,3,1,3,2,3,1,2.36,2
"36",36,1,22,1,3,1,1,2,4,4,2,1,1,2,2,4,4,4,2,1,1,2,2,2,4,4,4,1,2,2.4,2
"37",37,1,22,1,3,2,2,3,4,4,2,1,1,2,2,2,4,4,4,4,4,2,2,1,4,4,1,5,5,2.88,2
"38",38,1,21,0,3,2,1,1,4,4,2,1,1,1,2,2,2,1,1,2,2,1,1,2,2,1,2,1,2,1.76,2
"39",39,1,21,1,3,1,1,4,4,4,4,2,1,1,2,4,2,2,1,1,2,4,2,2,2,1,1,1,4,2.24,2
"40",40,1,19,0,2,1,2,4,4,4,5,1,1,2,2,4,2,2,2,2,1,1,4,4,4,2,1,1,1,2.36,2
"41",41,1,23,1,4,2,1,1,2,3,3,1,2,2,4,2,1,1,2,2,1,1,1,2,2,4,4,2,2,2.08,2
"42",42,1,23,0,3,2,3,3,1,2,2,4,1,1,2,2,1,2,2,3,4,4,4,5,5,2,1,5,5,2.76,2
"44",44,1,23,1,3,2,1,3,5,4,2,2,2,1,1,2,2,4,2,2,2,4,1,1,2,1,2,4,5,2.4,2
"45",45,1,23,1,2,1,2,2,4,4,1,1,1,2,2,2,2,1,4,1,2,2,1,1,2,4,4,2,4,2.16,2
"48",48,2,21,1,3,1,1,2,4,2,2,4,2,1,1,2,4,4,2,1,1,1,2,4,1,2,2,4,2,2.2,2
"49",49,2,22,0,3,2,4,5,5,1,1,2,2,1,1,2,4,4,2,2,2,4,4,2,1,4,2,2,1,2.52,2
"51",51,2,22,0,2,1,1,3,4,4,1,1,2,2,2,1,1,4,4,2,2,4,2,2,1,1,2,1,1,2.04,2
"52",52,2,22,1,1,2,2,2,1,4,1,1,3,3,4,2,2,1,1,1,3,2,4,4,1,1,2,2,1,2.04,2
"53",53,2,21,0,3,1,1,2,3,3,5,2,5,2,2,5,1,1,3,5,5,5,5,1,1,2,5,4,3,3,2
"54",54,2,23,0,3,1,1,2,4,1,1,2,4,1,1,1,2,2,4,1,1,2,4,1,2,2,1,1,2,1.88,2
"55",55,2,22,1,1,3,3,4,1,1,2,2,2,3,4,4,4,1,1,2,2,1,1,1,4,4,5,1,2,2.36,2
"56",56,2,22,0,2,4,4,2,1,1,4,4,2,2,4,2,5,2,1,1,1,2,2,4,4,1,1,1,2,2.36,2
"57",57,2,23,1,2,2,4,1,1,2,2,1,1,1,2,2,4,1,4,4,2,1,1,4,4,4,1,1,1,2.12,2
"61",61,3,22,1,5,3,5,2,5,2,4,5,5,3,2,4,3,1,4,2,5,3,4,2,3,1,4,1,3,3.24,2
"62",62,3,24,1,1,3,4,1,3,2,4,1,3,2,1,3,5,1,4,3,4,3,4,3,4,3,1,3,4,2.8,2
"67",67,3,23,0,1,2,3,2,1,2,4,1,2,1,2,4,4,1,5,1,5,5,5,2,1,4,1,2,3,2.56,2
"68",68,3,23,1,4,5,3,4,3,5,4,3,1,3,1,2,1,3,1,3,1,3,1,2,3,4,1,1,1,2.52,2
"70",70,3,22,1,1,2,1,3,1,3,1,4,4,5,1,1,2,3,5,2,2,3,1,2,1,4,4,2,4,2.48,2
"71",71,3,24,1,3,1,1,4,1,4,5,5,1,2,3,4,6,8,3,4,4,6,7,2,4,5,6,1,2,3.68,2
"72",72,3,24,0,3,1,1,1,2,3,3,3,3,4,4,4,2,3,1,1,2,3,3,3,1,1,1,2,2,2.28,2
"73",73,3,24,1,3,1,2,2,2,1,1,3,4,4,1,1,2,2,1,2,2,2,1,3,4,4,1,2,2,2.12,2
"74",74,4,23,1,4,2,3,4,3,4,3,3,3,3,4,5,5,1,3,2,1,1,2,3,2,4,3,1,1,2.8,2
"75",75,4,23,0,4,2,4,4,4,4,2,2,2,4,3,2,1,2,3,5,4,4,3,3,2,2,3,4,5,3.12,2
"77",77,4,24,1,5,1,5,1,3,1,3,5,2,1,3,2,2,4,3,1,3,4,3,2,3,2,3,1,2,2.6,2
"78",78,4,23,1,5,3,5,4,5,2,3,3,4,2,5,3,1,2,3,4,5,4,3,1,2,3,2,1,2,3.08,2
"89",89,4,25,1,1,1,1,1,3,1,1,5,4,2,1,1,2,1,3,1,1,1,2,2,1,2,1,3,3,1.8,2
"91",91,3,24,0,3,1,1,2,4,4,5,4,4,3,2,3,4,2,3,2,1,4,5,1,3,2,1,2,5,2.84,2
"92",92,4,25,1,1,1,1,1,4,4,3,1,3,4,3,1,1,1,1,2,1,2,3,1,2,3,3,3,3,2.12,2
"93",93,4,24,1,4,3,1,1,5,2,3,3,2,3,2,3,1,2,1,3,1,1,2,2,2,3,1,1,2,2.16,2
"97",97,4,23,1,3,3,3,2,4,1,4,4,2,2,4,2,2,3,2,2,2,2,2,2,2,5,3,3,3,2.68,2
"99",99,1,19,1,3,1,3,3,5,3,5,4,3,2,4,2,2,3,3,3,2,1,5,3,4,4,2,3,4,3.08,2
"102",102,1,19,1,1,4,4,3,5,1,5,4,1,3,5,2,1,2,2,3,1,1,2,1,3,3,4,2,4,2.68,2
"103",103,2,23,0,1,1,1,1,5,3,3,3,2,3,5,1,2,4,4,2,2,2,3,1,4,3,4,3,4,2.68,2
"104",104,1,19,1,1,3,3,1,4,2,5,5,2,5,5,2,2,3,3,3,2,1,4,1,2,3,4,3,4,2.92,2
"106",106,3,19,1,3,1,3,2,4,1,3,4,2,3,4,2,1,3,2,4,2,1,3,1,3,3,4,2,3,2.56,2
"109",109,4,24,1,1,3,3,2,4,1,4,4,3,4,4,3,2,3,3,4,3,2,3,3,4,3,4,1,3,2.96,2
"115",115,4,23,0,4,3,2,3,3,1,3,2,2,2,2,2,3,4,4,4,2,2,5,3,4,4,3,2,4,2.92,2
"116",116,3,22,1,1,1,3,1,4,3,1,3,3,4,4,3,2,4,3,4,2,1,3,1,3,2,4,3,4,2.68,2
"117",117,4,24,1,1,4,1,2,5,1,5,4,5,5,5,3,3,2,5,4,3,1,1,1,3,4,3,3,5,3.16,2
"120",120,3,22,0,1,4,2,4,4,1,3,4,4,2,4,4,1,2,5,4,4,1,1,1,2,3,3,2,4,2.8,2
"122",122,3,23,1,1,1,3,1,4,3,4,3,4,2,5,3,2,4,4,4,2,2,3,2,3,4,3,2,4,2.92,2
"124",124,2,23,0,2,3,3,1,4,1,3,3,2,1,5,4,2,4,4,3,2,1,4,4,2,2,4,1,5,2.8,2
"125",125,2,23,0,1,3,1,1,4,1,4,3,3,3,5,3,3,3,5,5,3,1,1,1,3,3,3,3,5,2.84,2
"127",127,2,22,1,1,1,1,1,1,3,2,5,2,1,2,1,1,3,1,1,3,1,1,3,2,2,3,1,5,1.92,2
"132",132,2,21,0,3,5,4,3,5,3,5,4,1,4,3,5,1,4,5,3,5,3,5,2,5,1,1,3,5,3.52,2
"154",154,1,23,1,3,4,3,1,3,4,5,2,4,4,2,2,4,2,5,3,4,2,3,3,3,2,3,2,3,3.04,2
"157",157,1,19,1,4,2,4,1,4,2,3,5,4,2,1,4,4,5,2,4,5,2,4,1,4,2,4,2,4,3.16,2
"160",160,1,19,0,3,1,4,2,4,1,3,5,2,3,1,5,2,4,1,5,3,2,4,3,5,2,4,4,3,3.04,2
"167",167,1,22,1,3,2,4,1,3,4,1,4,2,3,4,1,5,4,4,1,5,4,4,1,5,2,3,1,4,3,2
"168",168,1,21,0,4,2,5,2,4,4,5,3,1,4,3,5,3,1,5,2,3,3,5,5,4,3,2,2,1,3.24,2
"177",177,4,24,1,2,2,2,3,4,4,3,2,3,3,4,3,2,3,5,3,2,2,3,2,2,3,3,4,4,2.92,2
"178",178,4,22,1,5,1,1,1,5,1,4,4,2,1,1,1,1,1,3,5,3,2,1,2,2,2,3,4,5,2.44,2
"179",179,4,23,1,3,5,2,1,5,3,4,4,3,2,1,2,2,5,3,4,1,5,4,3,3,4,4,1,4,3.12,2
"180",180,4,22,1,1,2,5,3,5,4,5,2,4,5,1,1,1,2,2,3,2,1,2,2,4,4,5,4,4,2.96,2
"182",182,4,23,1,1,1,1,1,1,1,4,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,5,4,1.64,2
"188",188,4,23,1,1,3,1,1,3,5,4,3,4,3,4,2,1,2,3,4,2,1,1,3,5,5,2,1,5,2.76,2
"189",189,4,23,1,1,1,2,4,1,1,4,4,4,3,2,3,1,3,4,4,4,3,2,3,4,4,4,3,4,2.92,2
"190",190,4,24,1,1,2,1,3,3,5,3,4,3,5,5,3,1,3,3,4,3,2,1,2,1,5,1,2,5,2.84,2
"191",191,4,24,1,3,4,2,5,2,5,5,2,1,4,4,5,1,2,4,5,2,1,2,3,2,2,1,5,4,3.04,2
"195",195,4,23,1,1,1,1,2,4,1,5,1,2,3,3,2,1,2,1,1,1,2,1,2,2,2,3,1,2,1.88,2
"199",199,4,21,0,1,1,3,1,5,1,5,5,3,2,4,2,1,5,1,4,1,1,5,2,2,4,2,3,5,2.76,2
"200",200,4,23,0,1,1,1,2,5,3,5,4,3,4,5,2,1,3,4,4,1,1,4,2,3,3,2,4,5,2.92,2
"201",201,4,21,0,5,5,5,1,5,1,2,2,4,1,1,2,1,3,3,2,1,1,2,3,1,1,1,1,3,2.28,2
"202",202,4,22,1,5,5,5,1,5,1,2,2,4,1,1,2,1,3,3,2,1,1,2,3,1,1,1,1,3,2.28,2
"204",204,4,22,0,5,5,5,1,5,1,2,2,4,1,1,2,1,3,3,2,1,1,2,3,1,1,1,1,3,2.28,2
"205",205,4,23,0,1,1,1,1,5,1,4,1,1,4,1,1,1,1,1,2,1,1,2,4,2,2,2,4,4,1.96,2
"206",206,4,21,0,1,1,5,2,1,2,2,5,3,2,1,3,2,2,2,2,2,2,2,3,1,1,1,5,4,2.28,2
"207",207,4,22,1,5,1,1,1,1,5,1,4,4,4,2,2,2,2,4,2,2,2,2,3,2,2,2,2,2,2.4,2
"209",209,4,21,1,1,1,5,2,1,2,2,4,4,2,1,3,1,3,3,3,3,2,3,2,2,3,1,1,1,2.24,2
"210",210,4,23,0,1,1,1,1,3,1,2,2,2,2,2,2,2,2,3,2,2,3,2,2,2,2,2,3,3,2,2
"211",211,4,21,1,5,4,1,1,3,1,2,1,3,2,4,1,3,2,4,1,5,1,3,2,4,2,3,1,2,2.44,2
"212",212,4,23,1,5,1,2,4,4,2,2,1,2,3,1,3,1,4,1,5,3,2,3,1,2,4,2,1,3,2.48,2
"213",213,4,22,1,4,1,2,4,5,2,3,1,3,4,3,1,2,4,4,3,4,1,2,3,2,4,1,4,1,2.72,2
"215",215,4,22,1,1,1,1,1,1,3,2,5,2,1,2,1,1,3,1,1,3,1,1,3,2,2,3,1,5,1.92,2
"216",216,4,22,1,1,1,1,1,1,3,2,5,2,1,2,1,1,3,1,1,3,1,1,3,2,2,3,1,5,1.92,2
"217",217,4,22,1,1,1,5,3,5,1,5,5,4,2,1,3,1,3,1,1,3,5,1,3,2,5,2,4,5,2.88,2
"223",223,4,22,1,4,5,5,1,5,1,2,1,1,2,3,1,1,5,3,1,4,1,1,1,3,5,3,2,5,2.64,2
"225",225,4,22,1,5,4,3,2,1,2,3,5,4,3,2,1,1,2,3,4,5,4,3,2,1,2,3,4,5,2.96,2
"227",227,4,25,1,5,2,1,1,1,3,4,4,3,2,1,2,2,3,3,3,2,2,2,2,2,2,2,4,5,2.52,2
"231",231,4,21,0,5,4,3,2,1,1,2,5,4,3,2,1,2,3,4,5,5,4,3,2,1,2,3,4,5,3.04,2
"232",232,4,23,0,5,1,1,1,5,5,3,1,1,2,3,1,1,3,1,3,1,1,3,3,1,1,3,3,1,2.16,2
"233",233,4,21,0,4,1,1,1,5,1,3,1,1,2,3,1,1,1,3,1,4,1,1,1,3,5,3,2,5,2.2,2
"238",238,3,23,1,1,2,1,1,3,1,1,1,5,4,2,5,4,1,1,3,3,4,5,2,1,3,4,1,2,2.44,2
"240",240,3,21,0,5,5,4,1,5,3,3,3,2,2,2,1,1,2,1,3,1,1,2,3,1,2,4,3,3,2.52,2
"241",241,3,22,0,5,1,5,4,5,1,4,4,3,2,1,3,1,3,1,1,3,2,1,1,3,1,1,2,4,2.48,2
"243",243,3,22,0,5,1,1,2,5,3,4,5,3,2,1,2,2,3,4,3,2,2,2,3,2,2,2,4,2,2.68,2
"245",245,3,22,1,5,4,3,1,5,2,3,3,4,3,2,4,2,5,1,2,4,1,3,2,4,4,2,1,1,2.84,2
"253",253,3,22,1,4,5,1,1,3,5,5,5,1,3,4,4,3,5,3,5,3,2,4,1,4,3,3,4,4,3.4,2
"254",254,3,23,1,5,3,4,3,4,2,5,4,3,3,2,2,2,3,5,3,1,1,2,2,2,2,1,2,3,2.76,2
"256",256,3,24,1,5,1,4,1,4,5,5,4,4,4,1,4,1,4,2,4,4,4,1,2,4,2,2,2,2,3.04,2
"259",259,3,23,1,5,2,2,1,5,1,2,3,2,1,2,2,1,4,3,4,2,4,3,2,2,5,1,4,2,2.6,2
"266",266,3,22,0,5,2,5,1,5,1,4,4,4,3,2,2,1,2,1,4,2,2,2,1,2,4,2,4,2,2.68,2
"267",267,3,23,1,5,3,1,1,4,3,1,2,3,2,4,2,2,2,3,4,2,2,2,2,2,2,2,4,3,2.52,2
"278",278,3,22,1,5,4,1,1,5,3,5,4,3,3,3,4,5,1,4,5,3,5,3,2,1,4,4,3,5,3.44,2
"280",280,3,25,1,3,5,5,1,5,1,1,1,1,5,1,1,5,1,2,1,1,1,1,1,1,1,4,5,4,2.32,2
"281",281,3,21,0,1,4,5,1,5,1,4,2,2,4,1,2,1,4,4,2,2,2,2,2,3,2,4,4,1,2.6,2
"282",282,3,21,1,5,1,1,1,5,5,5,4,3,3,5,4,1,1,3,1,3,2,2,2,1,2,2,3,3,2.72,2
"283",283,2,21,1,5,2,1,3,3,3,4,2,3,4,2,2,1,3,3,2,2,2,1,2,3,3,2,2,2,2.48,2
"285",285,2,21,0,5,2,2,3,1,3,4,2,3,4,4,1,3,3,2,2,2,1,2,3,3,3,2,2,2,2.56,2
"286",286,2,21,0,5,2,2,1,4,4,4,2,3,4,4,3,3,2,2,2,1,2,3,3,3,2,2,2,2,2.68,2
"287",287,2,21,0,5,2,2,1,3,3,3,2,3,4,4,3,3,2,2,2,1,2,3,3,3,2,2,2,2,2.56,2
"289",289,2,21,1,5,1,5,2,1,1,4,4,2,4,2,2,1,2,2,2,2,2,1,2,2,2,2,3,2,2.32,2
"290",290,2,21,1,5,1,5,2,1,1,4,4,2,4,2,2,1,2,2,2,2,2,1,2,2,2,2,3,2,2.32,2
"291",291,2,23,1,5,1,4,2,1,1,4,4,2,4,2,2,1,2,2,2,2,2,2,1,2,2,2,3,2,2.28,2
"293",293,2,23,0,5,3,2,2,2,1,4,2,3,2,2,2,2,3,2,2,2,1,2,3,2,3,3,2,2,2.36,2
"294",294,2,23,1,5,3,2,2,3,1,4,2,3,2,2,2,2,3,2,2,2,1,2,3,2,3,3,2,2,2.4,2
"295",295,2,21,1,5,3,2,2,2,1,4,2,3,2,2,2,2,3,2,2,2,1,2,3,2,3,3,2,2,2.36,2
"297",297,2,21,0,5,1,5,2,4,1,4,4,2,4,2,2,1,2,2,2,2,2,2,2,2,2,2,4,4,2.6,2
"298",298,2,21,0,5,1,5,2,1,1,4,4,2,4,2,2,1,2,2,2,2,2,1,2,2,2,2,3,2,2.32,2
"299",299,2,21,0,1,1,5,2,1,1,4,4,2,4,2,2,1,2,2,2,2,2,1,2,2,2,2,3,2,2.16,2
"300",300,2,21,1,5,1,5,2,1,1,4,4,2,4,2,2,1,2,2,2,2,2,1,2,2,2,2,3,2,2.32,2
"301",301,2,21,0,5,2,1,3,4,3,4,2,3,4,2,2,1,3,3,2,2,2,1,2,3,3,3,2,2,2.56,2
"302",302,2,21,1,1,2,5,1,2,4,1,3,1,3,4,5,5,3,3,1,4,4,2,2,3,2,3,2,1,2.68,2
"304",304,2,23,1,1,1,5,2,1,4,1,1,2,3,4,2,4,1,2,4,4,4,1,4,5,4,4,2,1,2.68,2
"306",306,2,19,1,1,2,5,5,1,4,1,3,1,3,4,5,5,3,3,1,4,4,2,2,3,2,4,2,1,2.84,2
"307",307,2,21,1,1,2,5,1,5,1,1,4,1,4,5,4,4,3,3,1,4,4,2,2,2,3,2,4,2,2.8,2
"309",309,2,23,1,1,5,3,5,1,1,5,1,2,4,4,2,5,4,1,1,3,4,3,4,1,1,1,1,2,2.6,2
"311",311,2,23,1,1,2,3,1,2,3,2,1,2,1,2,1,2,3,4,5,4,5,4,5,4,4,5,2,4,2.88,2
"312",312,2,23,1,1,2,3,2,3,3,4,1,2,1,1,2,1,2,1,3,4,5,4,5,3,3,4,2,1,2.52,2
"313",313,2,24,1,2,1,3,2,2,2,5,1,1,2,1,2,5,4,4,5,2,2,2,3,2,3,3,1,1,2.44,2
"314",314,2,24,0,1,2,1,2,1,4,5,1,2,3,2,5,4,3,1,2,1,3,1,2,3,1,4,2,3,2.36,2
"315",315,2,23,0,1,2,1,2,3,4,2,1,2,1,2,3,1,3,2,2,3,4,5,5,4,5,3,2,1,2.56,2
"316",316,2,22,0,1,2,1,2,1,3,5,2,3,4,2,1,2,2,1,3,2,3,5,4,5,4,4,4,5,2.84,2
"317",317,2,23,0,1,2,1,2,3,2,5,1,2,1,2,4,5,2,3,3,3,2,3,2,3,4,2,4,5,2.68,2
"318",318,1,23,1,5,3,1,1,5,3,5,2,2,2,5,1,1,3,1,1,1,1,3,3,3,3,1,3,5,2.56,2
"319",319,1,19,1,5,5,3,1,5,1,2,3,1,1,1,1,1,5,1,1,1,1,5,4,3,1,3,2,5,2.48,2
"320",320,1,19,1,3,5,1,3,5,1,4,3,2,4,4,2,1,4,4,3,2,2,2,2,3,2,2,4,4,2.88,2
"321",321,1,18,1,5,3,1,1,5,3,5,2,2,2,5,1,1,3,1,1,1,1,3,3,3,3,1,3,5,2.56,2
"323",323,1,19,1,5,3,1,1,5,3,5,3,3,4,5,1,1,3,3,5,4,1,1,3,3,3,1,3,5,3,2
"326",326,1,19,1,4,1,1,2,5,5,5,5,2,5,5,3,1,3,4,4,5,2,2,2,4,2,4,4,3,3.32,2
"331",331,1,18,1,5,5,1,1,3,1,5,4,3,4,4,3,1,3,2,4,5,5,3,3,4,3,5,1,4,3.28,2
"350",350,1,18,1,5,1,1,2,5,5,1,2,2,5,4,2,1,3,1,3,2,3,1,1,5,3,4,5,3,2.8,2
"353",353,1,23,1,5,5,1,1,3,1,5,5,1,4,1,1,5,3,1,3,5,1,3,3,4,5,1,3,2,2.88,2
"354",354,1,23,1,5,2,1,1,5,2,5,2,2,2,5,1,1,3,5,4,5,5,3,3,3,3,1,3,4,3.04,2
"355",355,1,19,1,5,5,1,1,4,1,5,4,2,1,3,2,1,5,5,5,2,1,1,3,3,5,1,3,5,2.96,2
"358",358,1,18,0,5,5,1,1,5,4,5,4,1,2,2,5,5,3,5,2,2,1,4,4,2,2,2,4,4,3.2,2
"359",359,1,18,0,5,5,1,1,5,4,5,2,2,1,5,4,1,1,4,3,3,3,1,3,5,4,3,4,4,3.16,2
"367",367,1,23,1,1,2,3,1,2,1,4,1,2,1,4,4,5,5,3,3,4,3,4,1,1,2,1,3,1,2.48,2
"368",368,1,23,0,1,2,1,2,1,3,5,1,2,1,3,4,5,4,4,5,4,3,1,4,1,1,3,3,3,2.68,2
"369",369,1,23,0,2,1,2,1,3,5,4,1,2,2,3,4,5,2,3,3,2,3,2,3,2,5,2,5,4,2.84,2
"370",370,1,23,0,1,2,3,4,5,3,4,1,2,1,4,1,3,4,5,3,4,2,1,3,2,3,2,4,5,2.88,2
"371",371,1,23,1,1,2,1,3,2,3,4,1,2,1,2,4,2,2,3,2,3,3,2,4,2,4,2,4,5,2.56,2
"372",372,1,23,1,1,2,1,5,4,3,3,2,4,5,2,1,2,1,2,1,2,1,3,1,5,1,2,2,1,2.28,2
"374",374,1,19,1,2,4,1,3,2,4,1,1,2,3,1,3,2,5,2,4,1,3,1,4,1,2,2,3,1,2.32,2
"381",381,4,22,1,3,2,2,3,3,3,3,4,4,3,3,2,4,2,1,1,1,1,3,3,3,1,4,1,4,2.56,2
"383",383,4,22,0,3,1,1,5,5,1,4,4,4,4,1,4,2,4,4,2,4,2,1,2,4,4,4,4,2,3.04,2
"386",386,3,22,1,1,1,2,4,2,2,5,5,4,3,2,5,2,3,4,2,4,3,2,3,3,3,4,5,4,3.12,2
"396",396,2,21,1,5,4,3,1,2,1,5,4,3,2,1,3,5,3,2,3,2,1,1,2,2,1,4,5,4,2.76,2
"397",397,3,21,1,3,2,1,3,4,3,5,4,2,2,5,2,3,5,5,4,1,2,4,5,4,2,2,2,3,3.12,2
"398",398,3,21,1,3,3,3,2,3,4,5,4,1,1,4,1,4,5,2,3,1,2,3,1,1,5,3,3,3,2.8,2
"400",400,4,22,1,1,4,5,1,3,1,5,5,1,3,5,1,1,5,4,4,1,1,3,2,4,4,2,1,4,2.84,2
"420",420,2,24,0,3,1,1,1,1,2,2,2,2,4,1,1,2,4,1,4,1,5,5,5,5,1,5,1,5,2.6,2
"423",423,2,23,0,2,2,3,3,3,3,3,3,2,2,2,2,2,4,4,4,4,4,1,2,2,2,4,1,4,2.72,2
"428",428,2,23,1,3,2,3,3,2,2,3,3,3,2,2,5,3,4,3,4,3,2,3,2,3,2,3,2,3,2.8,2
"430",430,2,22,1,3,4,3,3,3,1,4,4,3,3,1,2,4,3,3,2,4,2,2,2,2,3,3,3,3,2.8,2
"432",432,2,24,1,3,2,3,3,2,3,3,4,3,2,2,3,2,2,4,3,4,5,4,3,3,2,2,2,3,2.88,2
"437",437,2,24,0,2,2,2,4,3,3,3,3,2,2,3,3,3,2,2,3,3,3,2,2,3,3,2,3,3,2.64,2
"438",438,2,23,0,1,3,1,4,3,3,2,4,2,3,3,3,3,3,3,2,3,4,4,2,2,3,3,2,3,2.76,2
"443",443,3,25,1,4,2,2,2,4,3,3,3,3,2,4,4,3,3,3,3,3,4,3,2,3,3,4,2,3,3,2
"447",447,3,23,0,4,2,4,2,2,4,2,3,2,3,2,3,2,3,3,2,3,2,3,2,3,2,3,2,3,2.64,2
"449",449,3,22,0,2,2,2,2,3,3,4,3,2,3,3,3,3,2,3,3,3,2,3,2,3,2,2,2,3,2.6,2
"451",451,3,24,0,3,3,4,4,2,4,4,3,2,2,2,3,2,3,3,3,2,3,2,2,3,2,3,2,3,2.76,2
"453",453,3,22,0,3,3,2,4,3,3,2,3,2,3,3,3,3,2,3,4,3,3,2,2,2,2,2,2,3,2.68,2
"454",454,3,22,1,5,2,3,4,2,4,2,2,3,3,4,3,2,3,2,3,3,3,3,2,2,3,2,3,2,2.8,2
"455",455,3,22,1,5,1,3,2,3,4,3,3,2,2,4,3,4,3,4,4,2,1,2,1,2,2,3,2,3,2.72,2
"457",457,3,24,1,3,2,4,4,4,5,3,4,2,2,5,3,4,3,4,4,1,2,1,2,1,2,2,1,3,2.84,2
"459",459,3,23,0,5,4,2,4,4,2,3,4,2,1,2,4,5,2,4,4,1,2,1,2,1,2,2,1,1,2.6,2
"461",461,4,23,0,5,2,2,2,4,2,3,3,3,2,3,2,3,2,3,5,2,2,2,1,1,1,2,2,1,2.4,2
"462",462,4,23,0,3,2,3,2,2,2,3,2,2,3,2,3,2,3,3,5,3,3,4,2,2,1,1,2,3,2.52,2
"463",463,4,24,1,3,3,2,2,4,3,2,2,2,3,3,2,3,3,3,5,2,1,2,1,2,2,1,1,2,2.36,2
"465",465,4,24,1,2,3,3,2,2,3,3,4,3,4,3,2,3,3,3,4,1,2,2,1,2,2,1,1,2,2.44,2
"467",467,4,23,1,2,2,4,4,2,3,2,3,3,2,2,2,4,3,2,3,2,1,2,1,2,1,1,1,2,2.24,2
"469",469,4,23,1,4,3,2,4,2,3,3,2,2,2,4,2,2,4,4,3,2,1,2,1,2,2,1,1,2,2.4,2
"471",471,4,23,1,5,3,1,2,3,4,2,2,3,2,4,3,2,4,4,3,2,2,3,2,2,2,2,2,2,2.64,2
"473",473,4,23,1,3,3,2,2,3,5,3,4,3,4,2,3,3,3,3,4,3,2,2,3,3,3,2,3,2,2.92,2
"474",474,4,24,1,2,2,2,4,3,3,3,4,3,2,3,2,3,4,2,5,3,2,3,3,2,2,3,3,3,2.84,2
"475",475,4,24,1,1,3,4,3,1,2,2,3,4,2,2,3,3,3,2,5,1,2,2,1,2,3,2,2,4,2.48,2
"476",476,4,24,1,1,2,2,3,1,2,3,2,3,3,3,2,2,4,2,4,1,2,2,3,3,4,1,2,1,2.32,2
"477",477,4,24,1,2,3,4,2,2,2,2,3,4,2,2,3,3,3,3,5,2,1,2,1,4,4,3,2,1,2.6,2
"482",482,3,21,1,2,3,3,1,5,2,5,3,3,3,1,3,3,5,3,4,2,4,5,1,2,4,2,3,3,3,2
"483",483,4,22,1,3,1,1,3,5,1,4,3,3,3,3,1,1,5,2,2,2,2,3,1,4,1,1,4,3,2.48,2
"495",495,3,21,1,3,3,1,1,4,1,5,4,4,4,4,5,2,5,4,3,4,2,4,2,4,4,2,4,5,3.36,2
"502",502,2,19,1,1,4,4,3,4,1,4,5,1,2,5,2,4,4,2,3,3,3,5,3,4,2,3,4,4,3.2,2
"503",503,1,18,1,1,1,3,1,5,1,5,4,1,4,5,1,2,4,4,3,3,3,3,3,3,3,3,2,5,2.92,2
"506",506,1,19,1,1,3,1,1,4,1,5,5,3,2,5,1,1,3,1,3,4,1,3,2,4,3,3,3,5,2.72,2
"510",510,2,21,0,1,4,5,3,4,1,5,4,3,2,4,3,2,3,4,4,2,2,3,1,2,3,4,2,3,2.96,2
"511",511,2,21,1,3,1,3,1,4,1,4,3,3,3,3,4,2,4,2,2,4,2,2,2,2,4,2,2,4,2.68,2
"513",513,3,22,1,4,3,1,1,4,1,3,4,1,4,5,4,3,3,3,3,2,1,3,3,4,3,3,2,5,2.92,2
"514",514,4,23,1,3,1,4,1,2,1,4,2,4,3,1,4,2,4,5,5,2,2,4,2,2,2,2,4,4,2.8,2
