   Department,Year,    Age ,  Gender,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,Level
CSE,4,23,Male,1,4,1,1,4,1,4,5,4,4,5,3,1,5,4,5,3,1,5,3,4,5,4,4,5,3.44
CSE,4,22,Male,2,2,3,3,1,3,1,3,4,5,3,3,1,5,5,5,5,1,3,3,1,5,5,4,4,3.2
CSE,4,24,Male,2,2,2,3,4,4,3,2,3,3,4,3,2,3,5,3,2,2,3,2,2,3,3,4,4,2.92
CSE,4,22,Male,5,1,1,1,5,1,4,4,2,1,1,1,1,1,3,5,3,2,1,2,2,2,3,4,5,2.44
CSE,4,23,Male,3,5,2,1,5,3,4,4,3,2,1,2,2,5,3,4,1,5,4,3,3,4,4,1,4,3.12
CSE,4,22,Male,1,2,5,3,5,4,5,2,4,5,1,1,1,2,2,3,2,1,2,2,4,4,5,4,4,2.96
CSE,4,23,Female,5,5,5,5,5,5,5,4,4,3,2,3,1,3,3,3,2,2,2,2,2,3,3,3,3,3.32
CSE,4,23,Male,1,1,1,1,1,1,4,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,5,4,1.64
CSE,4,24,Male,5,1,5,5,5,2,5,5,2,5,2,5,5,5,5,4,1,1,5,5,1,5,5,5,5,3.96
CSE,4,23,Male,5,5,5,4,2,1,4,4,4,3,3,3,2,2,3,3,2,2,2,2,2,2,3,3,4,3
CSE,4,23,Male,1,3,5,5,2,1,4,5,3,3,5,4,1,3,5,5,5,1,4,3,1,5,5,1,5,3.4
CSE,4,23,Female,5,3,5,1,5,1,1,5,1,2,5,1,1,5,2,4,2,5,1,3,5,1,5,1,3,2.92
CSE,4,22,Male,5,5,5,1,5,2,1,4,4,2,2,2,2,4,2,2,2,2,3,2,2,2,2,2,3,2.72
CSE,4,23,Male,1,3,1,1,3,5,4,3,4,3,4,2,1,2,3,4,2,1,1,3,5,5,2,1,5,2.76
CSE,4,23,Male,1,1,2,4,1,1,4,4,4,3,2,3,1,3,4,4,4,3,2,3,4,4,4,3,4,2.92
CSE,4,24,Male,1,2,1,3,3,5,3,4,3,5,5,3,1,3,3,4,3,2,1,2,1,5,1,2,5,2.84
CSE,4,24,Male,3,4,2,5,2,5,5,2,1,4,4,5,1,2,4,5,2,1,2,3,2,2,1,5,4,3.04
CSE,4,22,Female,5,4,4,4,2,4,4,3,4,5,2,2,1,4,4,2,2,2,4,4,3,2,4,2,4,3.24
CSE,4,21,Female,5,5,4,3,5,4,4,3,4,4,5,2,1,2,4,5,2,4,5,2,1,3,2,4,5,3.52
