,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,Level,clara.res.clustering
117,5,1,4,2,1,1,4,4,2,4,2,2,1,2,2,2,2,2,2,1,2,2,2,3,2,2.28,1
115,5,1,5,2,1,1,4,4,2,4,2,2,1,2,2,2,2,2,1,2,2,2,2,3,2,2.32,1
116,5,1,5,2,1,1,4,4,2,4,2,2,1,2,2,2,2,2,1,2,2,2,2,3,2,2.32,1
124,5,1,5,2,1,1,4,4,2,4,2,2,1,2,2,2,2,2,1,2,2,2,2,3,2,2.32,1
126,5,1,5,2,1,1,4,4,2,4,2,2,1,2,2,2,2,2,1,2,2,2,2,3,2,2.32,1
713,4,1,3,1,3,1,4,2,1,3,1,3,1,2,1,3,1,2,4,2,1,2,4,5,3,2.32,1
119,5,3,2,2,2,1,4,2,3,2,2,2,2,3,2,2,2,1,2,3,2,3,3,2,2,2.36,1
121,5,3,2,2,2,1,4,2,3,2,2,2,2,3,2,2,2,1,2,3,2,3,3,2,2,2.36,1
376,5,1,1,1,5,1,5,2,4,1,3,3,1,2,1,2,2,2,1,1,4,4,1,2,4,2.36,1
120,5,3,2,2,3,1,4,2,3,2,2,2,2,3,2,2,2,1,2,3,2,3,3,2,2,2.4,1
67,5,1,5,4,5,1,4,4,3,2,1,3,1,3,1,1,3,2,1,1,3,1,1,2,4,2.48,1
145,5,5,3,1,5,1,2,3,1,1,1,1,1,5,1,1,1,1,5,4,3,1,3,2,5,2.48,1
793,3,1,1,3,5,1,4,3,3,3,3,1,1,5,2,2,2,2,3,1,4,1,1,4,3,2.48,1
66,5,5,4,1,5,3,3,3,2,2,2,1,1,2,1,3,1,1,2,3,1,2,4,3,3,2.52,1
138,1,2,3,2,3,3,4,1,2,1,1,2,1,2,1,3,4,5,4,5,3,3,4,2,1,2.52,1
199,2,2,3,2,3,1,2,5,4,4,2,3,2,3,2,1,1,2,1,2,1,4,4,5,2,2.52,1
375,5,4,1,1,3,1,5,2,4,1,3,3,1,2,1,2,2,2,1,1,3,4,4,3,4,2.52,1
144,5,3,1,1,5,3,5,2,2,2,5,1,1,3,1,1,1,1,3,3,3,3,1,3,5,2.56,1
147,5,3,1,1,5,3,5,2,2,2,5,1,1,3,1,1,1,1,3,3,3,3,1,3,5,2.56,1
870,3,1,3,2,4,1,3,4,2,3,4,2,1,3,2,4,2,1,3,1,3,3,4,2,3,2.56,1
85,5,2,2,1,5,1,2,3,2,1,2,2,1,4,3,4,2,4,3,2,2,5,1,4,2,2.6,1
107,1,4,5,1,5,1,4,2,2,4,1,2,1,4,4,2,2,2,2,2,3,2,4,4,1,2.6,1
123,5,1,5,2,4,1,4,4,2,4,2,2,1,2,2,2,2,2,2,2,2,2,2,4,4,2.6,1
513,3,1,1,1,1,2,2,2,2,4,1,1,2,4,1,4,1,5,5,5,5,1,5,1,5,2.6,1
627,5,1,5,1,3,1,3,5,2,1,3,2,2,4,3,1,3,4,3,2,3,2,3,1,2,2.6,1
361,1,2,2,3,4,1,2,1,2,3,4,1,2,5,1,1,3,1,3,4,5,3,4,5,3,2.64,1
92,5,2,5,1,5,1,4,4,4,3,2,2,1,2,1,4,2,2,2,1,2,4,2,4,2,2.68,1
110,1,4,1,1,1,1,4,5,4,5,1,4,1,5,2,2,2,2,5,2,2,4,2,5,1,2.68,1
348,2,1,3,1,3,1,4,2,1,3,1,3,1,3,1,3,5,3,4,5,3,4,5,3,2,2.68,1
784,1,2,2,4,5,1,5,4,4,2,3,4,1,1,1,3,1,1,4,4,3,2,2,3,4,2.68,1
829,3,3,3,2,4,1,4,4,2,2,4,2,2,3,2,2,2,2,2,2,2,5,3,3,3,2.68,1
863,1,4,4,3,5,1,5,4,1,3,5,2,1,2,2,3,1,1,2,1,3,3,4,2,4,2.68,1
905,3,1,3,1,4,1,4,3,3,3,3,4,2,4,2,2,4,2,2,2,2,4,2,2,4,2.68,1
13,5,5,5,1,5,2,1,4,4,2,2,2,2,4,2,2,2,2,3,2,2,2,2,2,3,2.72,1
168,5,2,1,1,5,1,2,3,5,4,2,1,2,3,2,2,2,1,3,5,4,3,1,3,5,2.72,1
593,3,2,1,2,4,4,5,5,5,5,2,2,1,4,1,2,2,3,2,2,1,2,3,3,2,2.72,1
726,2,4,3,5,1,1,2,2,4,3,2,3,1,4,3,4,2,1,4,1,5,3,2,1,5,2.72,1
881,1,3,1,1,4,1,5,5,3,2,5,1,1,3,1,3,4,1,3,2,4,3,3,3,5,2.72,1
882,1,3,3,1,4,1,4,3,3,2,5,2,1,4,3,2,2,3,3,2,2,4,3,2,5,2.72,1
25,1,1,3,1,5,1,5,5,3,2,4,2,1,5,1,4,1,1,5,2,2,4,2,3,5,2.76,1
316,5,4,3,1,2,1,5,4,3,2,1,3,5,3,2,3,2,1,1,2,2,1,4,5,4,2.76,1
336,3,1,1,1,5,4,5,4,2,4,2,4,1,4,1,2,3,2,3,3,2,2,2,4,4,2.76,1
826,3,3,3,3,4,3,3,5,3,1,1,1,1,5,2,3,2,2,4,2,4,2,4,3,2,2.76,1
