Year,Age,Gender,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,Level
4,23,0,1,1,1,4,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,2,1,1,3,2,1,1.4
3,23,1,1,1,1,1,2,1,1,2,1,1,1,3,1,1,3,1,1,1,2,2,2,1,2,2,1,1.44
4,23,1,1,1,1,1,1,1,4,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,5,4,1.64
1,21,0,3,2,1,1,4,4,2,1,1,1,2,2,2,1,1,2,2,1,1,2,2,1,2,1,2,1.76
4,22,1,1,1,1,1,1,1,5,1,1,1,1,1,1,5,5,5,1,1,1,1,1,1,3,2,1,1.76
4,22,1,1,1,1,1,2,1,5,2,1,2,1,2,1,2,1,1,2,2,1,1,2,2,2,3,4,1.76
4,25,1,1,1,1,1,3,1,1,5,4,2,1,1,2,1,3,1,1,1,2,2,1,2,1,3,3,1.8
4,22,0,1,1,1,1,1,1,1,1,4,2,4,4,4,2,2,5,2,1,1,1,1,1,1,1,1,1.8
1,21,1,5,1,5,1,1,2,1,1,1,1,1,4,1,1,1,3,3,1,1,2,2,2,1,3,1,1.84
2,23,0,3,1,1,2,4,1,1,2,4,1,1,1,2,2,4,1,1,2,4,1,2,2,1,1,2,1.88
4,23,1,1,1,1,2,4,1,5,1,2,3,3,2,1,2,1,1,1,2,1,2,2,2,3,1,2,1.88
1,23,0,2,4,3,4,1,1,1,2,2,2,4,1,1,1,1,2,1,1,2,1,1,2,1,2,4,1.88
2,22,1,1,1,1,1,1,3,2,5,2,1,2,1,1,3,1,1,3,1,1,3,2,2,3,1,5,1.92
4,22,1,1,1,1,1,1,3,2,5,2,1,2,1,1,3,1,1,3,1,1,3,2,2,3,1,5,1.92
4,22,1,1,1,1,1,1,3,2,5,2,1,2,1,1,3,1,1,3,1,1,3,2,2,3,1,5,1.92
4,23,0,1,1,1,1,5,1,4,1,1,4,1,1,1,1,1,2,1,1,2,4,2,2,2,4,4,1.96
4,23,0,1,1,1,1,3,1,2,2,2,2,2,2,2,2,3,2,2,3,2,2,2,2,2,3,3,2
2,22,0,2,1,1,3,4,4,1,1,2,2,2,1,1,4,4,2,2,4,2,2,1,1,2,1,1,2.04
2,22,1,1,2,2,2,1,4,1,1,3,3,4,2,2,1,1,1,3,2,4,4,1,1,2,2,1,2.04
4,23,0,3,3,3,2,1,1,3,1,4,2,2,2,4,4,2,1,1,2,2,1,1,2,2,1,1,2.04
1,19,0,2,1,3,1,3,1,3,1,2,1,2,3,1,3,1,3,1,3,1,3,4,2,2,1,4,2.08
1,23,1,4,2,1,1,2,3,3,1,2,2,4,2,1,1,2,2,1,1,1,2,2,4,4,2,2,2.08
2,23,1,2,2,4,1,1,2,2,1,1,1,2,2,4,1,4,4,2,1,1,4,4,4,1,1,1,2.12
3,24,1,3,1,2,2,2,1,1,3,4,4,1,1,2,2,1,2,2,2,1,3,4,4,1,2,2,2.12
4,25,1,1,1,1,1,4,4,3,1,3,4,3,1,1,1,1,2,1,2,3,1,2,3,3,3,3,2.12
1,23,0,3,2,1,1,2,3,4,4,2,2,1,2,4,4,1,1,2,2,1,2,1,1,2,3,2,2.12
1,23,1,3,1,2,1,3,4,4,2,1,1,1,2,2,1,2,3,3,4,2,2,2,2,1,1,3,2.12
1,21,0,1,1,1,1,1,3,2,5,2,1,2,1,1,3,1,1,3,4,2,1,5,4,4,2,1,2.12
1,23,1,2,1,2,2,4,4,1,1,1,2,2,2,2,1,4,1,2,2,1,1,2,4,4,2,4,2.16
4,24,1,4,3,1,1,5,2,3,3,2,3,2,3,1,2,1,3,1,1,2,2,2,3,1,1,2,2.16
4,23,0,5,1,1,1,5,5,3,1,1,2,3,1,1,3,1,3,1,1,3,3,1,1,3,3,1,2.16
2,21,0,1,1,5,2,1,1,4,4,2,4,2,2,1,2,2,2,2,2,1,2,2,2,2,3,2,2.16
1,21,1,1,1,2,3,2,3,2,1,2,2,3,4,3,2,3,2,3,2,3,1,2,1,3,2,1,2.16
1,23,1,5,4,1,1,1,1,1,2,4,1,3,3,1,2,1,2,2,2,1,1,4,4,1,2,4,2.16
2,21,1,3,1,1,2,4,2,2,4,2,1,1,2,4,4,2,1,1,1,2,4,1,2,2,4,2,2.2
4,21,0,4,1,1,1,5,1,3,1,1,2,3,1,1,1,3,1,4,1,1,1,3,5,3,2,5,2.2
1,21,0,3,2,2,2,3,3,3,3,3,3,3,1,1,2,4,4,1,1,2,1,1,1,1,1,4,2.2
1,21,1,3,1,1,4,4,4,4,2,1,1,2,4,2,2,1,1,2,4,2,2,2,1,1,1,4,2.24
4,21,1,1,1,5,2,1,2,2,4,4,2,1,3,1,3,3,3,3,2,3,2,2,3,1,1,1,2.24
4,23,1,2,2,4,4,2,3,2,3,3,2,2,2,4,3,2,3,2,1,2,1,2,1,1,1,2,2.24
4,21,1,3,1,1,3,2,3,3,2,1,2,3,2,3,5,2,3,2,3,1,3,2,1,2,1,2,2.24
2,22,0,1,1,1,3,2,5,2,1,2,1,1,3,1,1,3,4,2,5,2,2,2,1,2,3,5,2.24
3,24,0,3,1,1,1,2,3,3,3,3,4,4,4,2,3,1,1,2,3,3,3,1,1,1,2,2,2.28
4,21,0,5,5,5,1,5,1,2,2,4,1,1,2,1,3,3,2,1,1,2,3,1,1,1,1,3,2.28
4,22,1,5,5,5,1,5,1,2,2,4,1,1,2,1,3,3,2,1,1,2,3,1,1,1,1,3,2.28
4,22,0,5,5,5,1,5,1,2,2,4,1,1,2,1,3,3,2,1,1,2,3,1,1,1,1,3,2.28
4,21,0,1,1,5,2,1,2,2,5,3,2,1,3,2,2,2,2,2,2,2,3,1,1,1,5,4,2.28
2,23,1,5,1,4,2,1,1,4,4,2,4,2,2,1,2,2,2,2,2,2,1,2,2,2,3,2,2.28
1,23,1,1,2,1,5,4,3,3,2,4,5,2,1,2,1,2,1,2,1,3,1,5,1,2,2,1,2.28
4,25,1,3,1,1,3,2,3,3,2,1,5,4,2,1,2,1,2,3,2,1,2,5,1,2,3,2,2.28
2,24,1,3,2,4,1,1,3,3,4,1,1,4,1,5,1,2,1,2,3,2,1,2,3,1,2,4,2.28
1,21,1,2,1,3,4,1,5,2,1,3,1,3,1,2,1,4,1,3,1,4,1,3,4,2,1,4,2.32
1,23,0,4,1,3,1,3,1,4,2,1,3,1,3,1,2,1,3,1,2,4,2,1,2,4,5,3,2.32
3,25,1,3,5,5,1,5,1,1,1,1,5,1,1,5,1,2,1,1,1,1,1,1,1,4,5,4,2.32
2,21,1,5,1,5,2,1,1,4,4,2,4,2,2,1,2,2,2,2,2,1,2,2,2,2,3,2,2.32
2,21,1,5,1,5,2,1,1,4,4,2,4,2,2,1,2,2,2,2,2,1,2,2,2,2,3,2,2.32
2,21,0,5,1,5,2,1,1,4,4,2,4,2,2,1,2,2,2,2,2,1,2,2,2,2,3,2,2.32
2,21,1,5,1,5,2,1,1,4,4,2,4,2,2,1,2,2,2,2,2,1,2,2,2,2,3,2,2.32
1,19,1,2,4,1,3,2,4,1,1,2,3,1,3,2,5,2,4,1,3,1,4,1,2,2,3,1,2.32
4,24,1,1,2,2,3,1,2,3,2,3,3,3,2,2,4,2,4,1,2,2,3,3,4,1,2,1,2.32
1,18,1,1,1,1,3,1,4,2,1,1,1,4,4,3,1,5,1,5,1,1,4,5,1,1,2,4,2.32
3,23,1,1,2,1,1,2,5,3,5,4,5,1,1,1,1,1,3,2,1,1,1,2,5,2,3,5,2.36
1,23,0,5,2,3,1,3,1,2,3,2,2,3,2,3,2,4,2,3,1,2,3,1,3,2,3,1,2.36
